id,station,x,y,docks,deployment_year
C32094,2 Hummingbird Lane at Olmsted Green,-71.095,42.2889,17,2020
C32095,Bellevue T Stop,-71.1464,42.2861,19,2021
C32096,Knoll St at Centre St,-71.1366,42.2938,0,2021
C32097,Roseland St At Dorchester Ave,-71.063,42.2912,0,2021
C32098,Adams Branch Library,-71.0547,42.286,0,2021
C32099,Circuit Drive at American Legion Hwy,-71.0917,42.297,19,2021
C32100,Hyde Park Ave at Arlington St,-71.1216,42.2629,0,2021
C32102,Walnut Ave at School St,-71.0962,42.3124,19,2021
C32103,Morton St at Gallivan Blvd,-71.0803,42.2787,15,2021
C32104,Cleary Sq,-71.1244,42.2556,16,2021
C32105,606 American Legion Hwy at Canterbury St,-71.1097,42.2858,18,2021
C32106,555 Metropolitan Ave,-71.1192,42.2681,18,2021
D32000,Cambridge St at Joy St,-71.0653,42.3613,15,2011
D32001,New Balance - 20 Guest St,-71.1467,42.3573,15,2011
D32002,Washington St at Waltham St,-71.0689,42.3416,15,2011
D32003,NA,-71.0599,42.3662,27,pre-2017
D32004,Arch St at Franklin St,-71.0582,42.3553,23,2011
D32005,Copley Square - Dartmouth St at Boylston St,-71.0774,42.3499,33,2011
D32006,Lewis Wharf at Atlantic Ave,-71.0509,42.3639,19,2011
D32007,Boylston St at Arlington St,-71.0677,42.3525,31,2011
D32008,Rowes Wharf at Atlantic Ave,-71.0507,42.3571,15,2011
D32009,Congress St at Boston City Hall,-71.0575,42.3604,23,2011
D32010,Cross St at Hanover St,-71.0561,42.3628,19,2011
D32011,Stuart St at Charles St,-71.0663,42.3511,19,2011
D32012,Post Office Square,-71.0546,42.3559,19,2011
D32013,Boylston St at Berkeley St,-71.0733,42.3511,15,2011
D32014,Tremont St at West St,-71.0633,42.355,15,2011
D32015,Chinatown Gate Plaza,-71.0594,42.3514,19,2011
D32016,Charles Circle - Charles St at Cambridge St,-71.0712,42.3608,19,2011
D32017,Mugar Way at Beacon St,-71.0729,42.3555,19,2011
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,-71.0454,42.3478,23,2012
D32019,Chinatown T Stop,-71.0627,42.3524,19,2012
D32020,Main St at Austin St,-71.0646,42.3756,11,2012
D32021,Warren St at Chelsea St,-71.0603,42.3718,23,2012
D32022,West End Park,-71.0645,42.3659,35,2012
D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,-71.0489,42.3783,19,2012
D32024,Beacon St at Charles St,-71.0698,42.3561,15,2013
D32026,Hayes Square - Vine St at Moulton St,-71.0566,42.377,19,2013
D32027,NA,-71.0766,42.3504,15,pre-2017
D32028,Brighton Center - Washington St at Cambridge St,-71.1503,42.3489,17,2015
D32029,Washington St at Brock St,-71.1603,42.349,15,2015
D32030,NA,-71.1503,42.3548,15,pre-2017
D32031,Oak Square - 615 Washington St,-71.1665,42.3506,15,2016
D32032,Silber Way,-71.1006,42.3495,19,2017
D32033,Commonwealth Ave at Chiswick Rd,-71.1517,42.3402,19,2018
D32034,Commonwealth Ave at Kelton St,-71.14,42.3484,15,2018
D32035,Harvard Ave at Brainerd Rd,-71.1302,42.3495,15,2018
D32036,Main St at Baldwin St,-71.0706,42.3809,19,2018
D32037,Medford St at Charlestown BCYF,-71.0606,42.3804,19,2018
D32038,Main St at Thompson Sq,-71.0638,42.3749,15,2018
D32039,Charlestown Navy Yard,-71.0548,42.3741,23,2018
D32040,Williams St at Washington St,-71.1077,42.3065,19,2018
D32041,Stony Brook T Stop,-71.1044,42.317,15,2018
D32042,Park Plaza at Charles St S.,-71.0678,42.3518,19,2018
D32043,Harrison Ave at Bennet St,-71.0621,42.3494,19,2018
D32044,NA,-71.0574,42.3625,15,pre-2017
D32045,Dartmouth St at Newbury St,-71.0778,42.351,19,2018
D32046,Boylston St at Exeter St,-71.0795,42.3496,19,2018
D32047,Clarendon St at Newbury St,-71.0756,42.3516,19,2019
D32048,Shawmut Ave at Oak St W,-71.0656,42.3485,15,2019
D32049,Stuart St at Berkeley St,-71.0724,42.3495,19,2019
D32050,Blossom St at Charles St,-71.0696,42.3644,15,2019
D32051,NA,-71.0708,42.3587,15,pre-2017
D32052,Jamaica St at South St,-71.1157,42.306,19,2019
D32053,Sullivan Square,-71.0751,42.3845,19,2019
D32054,The Overlook at St. Gabriel's,-71.1455,42.3468,19,2020
D32055,Boylston St at Dartmouth St,-71.0772,42.3501,0,2013
D32057,Clinton St at North St,-71.0552,42.3607,18,2021
E32001,Curtis Hall - South St at Centre St,-71.1154,42.3091,15,2013
E32002,NA,-71.1141,42.3132,15,pre-2017
E32003,Hyde Square - Barbara St at Centre St,-71.1098,42.3218,15,2013
E32004,Egleston Square - Atherton St at Washington St,-71.0986,42.3157,15,2013
E32005,Green Street T Stop - Green St at Amory St,-71.1073,42.3106,23,2013
E32006,Jackson Square T Stop,-71.1001,42.3229,19,2013
E32007,S Huntington Ave at Heath St,-71.1109,42.3276,15,2015
E32008,Centre St at Seaverns Ave,-71.1143,42.3121,15,2018
E32009,Shawmut T Stop,-71.0657,42.2929,19,2019
E32010,Forest Hills,-71.1142,42.3009,40,2019
E32011,The Dimock Center,-71.0964,42.3193,16,2019
